TIME("mxm_mxm_2pt eta_xi","done") = 0.368 secs
TIME("contract MB-MB","done") = 33.874 secs
TIME("w_eta_xi","done") = 0.348 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.348 secs
TIME("contract MB-MB","done") = 33.672 secs
TIME("w_eta_xi","done") = 0.300 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.300 secs
TIME("contract MB-MB","done") = 33.359 secs
TIME("w_eta_xi","done") = 0.372 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.372 secs
TIME("contract MB-MB","done") = 33.279 secs
TIME("w_eta_xi","done") = 0.295 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.296 secs
TIME("contract MB-MB","done") = 33.616 secs
TIME("w_eta_xi","done") = 0.380 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.380 secs
TIME("contract MB-MB","done") = 33.152 secs
TIME("w_eta_xi","done") = 0.353 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.353 secs
TIME("contract MB-MB","done") = 33.690 secs
TIME("writing propagator","done") = 0.020 secs
TIME("light stochastic propagator","done") = 0.732 secs
TIME("light stochastic propagator","done") = 1.082 secs
TIME("light stochastic propagator","done") = 0.700 secs
TIME("light stochastic propagator","done") = 1.059 secs
TIME("light stochastic propagator","done") = 0.981 secs
TIME("light stochastic propagator","done") = 1.092 secs
TIME("light stochastic propagator","done") = 0.673 secs
TIME("light stochastic propagator","done") = 1.059 secs
TIME("light stochastic propagator","done") = 0.777 secs
TIME("light stochastic propagator","done") = 1.008 secs
TIME("light stochastic propagator","done") = 1.040 secs
TIME("light stochastic propagator","done") = 0.997 secs
TIME("light stochastic propagator","done") = 0.609 secs
TIME("light stochastic propagator","done") = 0.610 secs
TIME("light stochastic propagator","done") = 0.940 secs
TIME("light stochastic propagator","done") = 0.895 secs
TIME("writing propagator","done") = 0.017 secs
TIME("w_eta_xi","done") = 0.361 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.361 secs
TIME("contract MB-MB","done") = 33.727 secs
TIME("w_eta_xi","done") = 0.368 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.368 secs
TIME("contract MB-MB","done") = 33.505 secs
TIME("w_eta_xi","done") = 0.369 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.369 secs
TIME("contract MB-MB","done") = 33.615 secs
TIME("w_eta_xi","done") = 0.369 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.369 secs
TIME("contract MB-MB","done") = 33.176 secs
TIME("w_eta_xi","done") = 0.311 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.311 secs
TIME("contract MB-MB","done") = 33.824 secs
TIME("w_eta_xi","done") = 0.301 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.301 secs
TIME("contract MB-MB","done") = 33.764 secs
TIME("w_eta_xi","done") = 0.350 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.350 secs
TIME("contract MB-MB","done") = 33.814 secs
TIME("w_eta_xi","done") = 0.364 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.364 secs
TIME("contract MB-MB","done") = 33.401 secs
TIME("invert","done") = 1.079 secs
TIME("writing propagator","done") = 0.031 secs
TIME("invert","done") = 0.655 secs
TIME("writing propagator","done") = 0.018 secs
TIME("invert","done") = 1.084 secs
TIME("writing propagator","done") = 0.052 secs
TIME("invert","done") = 0.732 secs
TIME("writing propagator","done") = 0.018 secs
TIME("invert","done") = 0.972 secs
TIME("writing propagator","done") = 0.057 secs
TIME("invert","done") = 0.870 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.790 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.083 secs
TIME("writing propagator","done") = 0.016 secs
TIME("invert","done") = 0.728 secs
TIME("writing propagator","done") = 0.042 secs
TIME("invert","done") = 1.088 secs
TIME("writing propagator","done") = 0.021 secs
TIME("invert","done") = 0.713 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.015 secs
TIME("writing propagator","done") = 0.021 secs
TIME("invert","done") = 1.079 secs
TIME("writing propagator","done") = 0.046 secs
TIME("invert","done") = 0.766 secs
TIME("writing propagator","done") = 0.064 secs
TIME("invert","done") = 1.046 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.818 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.706 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.963 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.881 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.760 secs
TIME("writing propagator","done") = 0.018 secs
TIME("invert","done") = 0.755 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 1.036 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.808 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.777 secs
TIME("writing propagator","done") = 0.017 secs
TIME("invert","done") = 0.758 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.972 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.890 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.889 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.887 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.956 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.949 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.912 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.002 secs
TIME("writing propagator","done") = 0.078 secs
TIME("invert","done") = 0.818 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.006 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.059 secs
TIME("writing propagator","done") = 0.017 secs
TIME("invert","done") = 1.084 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.776 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.084 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.772 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.702 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.086 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.758 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.942 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 1.082 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.779 secs
